Name,Prize,Uni
Cry3Aa 分子改造及其与红棕象甲伴生菌 Ye1-8 的协同增效作用,1,福建农林大学
基于鸟类应激反应的机场鸟击防控智能装置研发与应用,1,华南农业大学
适用于骨科生物材料打印的多功能舱,1,南京航空航天大学
茶树根际微生物响应土壤酸化的代谢模式及其信号转导机制研究,1,龙岩学院
海栖类扁虫新种发现与分子系统发生分析,1,深圳大学
脑水肿的细胞内力学机制研究,1,南京中医药大学
新型生物医用微针的研究及其在疾病诊断与治疗方面的应用,1,东南大学
复合微生态制剂对经济鱼类营养与免疫机能的作用研究,1,浙江理工大学
神经病理性痛及其诱导抑郁样行为的中枢神经通路、炎症机制及治疗策略研究,1,空军军医大学
基因组水平疾病相关基因鉴定方法的开发及其在精准医学中的应用,1,深圳大学
基于能量代谢的大黄?虫丸逆转肝癌耐药机制研究,1,南京中医药大学
LncRNA 调控 MDSC 参与肺癌肿瘤免疫功能的研究,1,江苏大学
促炎症消退介质防治类风湿性关节炎的基础和临床应用研究,1,温州医科大学
面向钛基牙根种植体基于电场刺激的生物活性与可控抑菌一体化涂层,1,西安交通大学
"连续安全合成法制备火箭推进剂 1,2,4-丁三醇三硝酸酯新工艺",1,常州大学
全降解秸秆板的生物粘结成型技术开发及产品应用,1,嘉兴学院
双燃料微型燃气轮机的设计与研发,1,哈尔滨工程大学
利用 18F 衰变产生γ光子的内腔探测与成像装置,1,南京航空航天大学
铜催化的四组分串联反应合成胺芳硒基化的马来酰亚胺,1,温州医科大学
钛合金与超高分子量聚乙烯高性能连接的技术实现及其在关节假体中的应用,1,上海交通大学
低值茶高效利用智能控制及智能评价方法,1,江苏大学
仿生特殊浸润性界面用于流体传递的优化及应用,1,天津大学
巧辨抗氧化类物质的化学“鼻/舌”——基于模式识别的传感分析新方法及应用研究,1,华东师范大学
新型聚集诱导发光材料的设计合成及其力刺激发光响应研究,1,华南师范大学
Co/β-Mo2C 异质结@氮掺杂碳纳米管高效双功能电催化剂,1,广州大学
基于氟代效应的具有钙钛矿结构的分子材料极性调控,1,东南大学
阳极 TiO2 纳米管传统理论的反证据和生长机理研究,1,南京理工大学
设计立县：基于福建松溪的设计扶贫实践与模式更新,1,华东理工大学
关于“塔西佗陷阱”的研究——政治史学视野下的文本追溯与古今之辩,1,重庆大学
产业驱动的乡村振兴之路 3.0 版——对浙江省 9 镇 36 村地方产业驱动乡村发展的典型模式研究,1,同济大学
脱贫长效机制研究——基于中部三省四县的调查,1,复旦大学
制造业中小企业创新的成功之路——“协同创新+靶向服务” 的江阴经验,1,南京大学
农房共享、融通城乡：农村闲置房屋盘活利用的可行模式探索——基于陕西高陵、湖南浏阳两地三案例的调查研究,1,江西师范大学
新旧动能转换背景下传统制造业“潮涌现象”的形成与演化机制研究,1,齐鲁工业大学（山东省科学院）
信息流广告的广告相关性如何提升广告转化率的机制研究——基于有调节的中介效应模型,1,南开大学
民营经济如何迎来大发展的春天？——各省民营经济政策与落实情况研究,1,浙江工业大学
乡村振兴战略背景下中国农民的农地情怀与政策期待 ——基于 8432 位农民对家庭联产承包责任制的感知,1,华南理工大学
印度主流媒体对“一带一路”倡议的认知情感变化及原因分析,1,南通大学
“追梦人”的逐梦路：探寻大学生创客群体的发展之道,1,南京工程学院
宅基地“三权分置”改革：权能困境、农户反响和产权实现研究——以国家级试点区浏阳市为例,1,湖南工商大学
小农户也有大市场：城郊小农户农产品流通模式创新研究——基于长沙市 5 区 28 个城郊村调研,1,长沙理工大学
被遗忘的孩子：多中心协同救助模式新探索——基于浙江省 317 名“双服刑人员”子女成长困境的实证调研,1,金华职业技术学院
飘零的金达莱——延边朝鲜族村落人口外流与民俗文化传承之困,1,吉林大学
文化复兴视角下岭南乡居的价值探索与风貌重塑研究——基于对潮汕传统村落的调研,1,广东工业大学
运动作剑，弃毒前行——基于我国 7203 名青少年戒毒人员体质调查的运动干预方案设计与效果跟踪,1,华南理工大学
数据山水——基于气候适应性的京津冀传统古村落山水格局设计指导,1,北京工业大学
消除黑臭，澈水长流——基于西安市黑臭水体防治对策研究,1,西安建筑科技大学
公共服务资源供给与社区组织网络构建：以农村睦邻点为例的调查分析,1,上海大学
网络募捐信任危机化解机制研究——基于信息经济学的分析,1,山东财经大学
抢救最后的宝藏：民间文书“生存”状态的调查及对策建议,1,浙江师范大学
困境与期盼：农民幸福路在何方？——基于全国东中西部 17 个乡镇的调查,1,湖南大学
从区隔到融入：麻风村后代社会融入困境的消解——基于西南山地 15 个麻风村的实证研究,1,云南大学
长照保险化解失能老人照护风险——基于长春市长期照护保险试点实施情况调查报告,1,长春工业大学
台湾青年学生国家认同现状及影响因素调查研究——以台北高校学生为例,1,暨南大学
如何绘制新时代“富春山居图”——苏南地区村土地利用规划编制实践,1,南京大学
破局与更立：共享单车发展困境与协同治理研究——基于政府-企业-公众联动视角,1,山东师范大学
异质与归位：农民合作社嵌入乡村治理的实践检视与优化路径——基于晋、皖、沪、川的调查,1,华东师范大学
融“工笔”入“写意”，绘互联互通新丝路——中国高铁“走出去”的知识产权风险调查研究,1,华东交通大学
网约车个人信息保护问题研究,1,中南大学
来华留学生中国情怀形成机理与提升对策研究——基于对京津冀高校来华留学生的调查,1,河北经贸大学
初中生校园欺凌的精准治理模式实践探索——基于累积生态风险模型的心理干预实证研究,1,西南大学
红色基因的国家记忆——新时代抗美援朝精神的老兵诠释,1,辽东学院
何以解困：农村教育贫困的文化根源与精准扶贫——基于粤西三村的田野调查,1,华南师范大学
多光子聚合大尺寸三维纳米直写系统,2,广东工业大学
水下海生物清洗机器人,2,浙江大学
基于相位测量偏折的晶圆表面面形检测系统,2,中国计量大学
一种基于物联网技术的智能电渗防水系统研发,2,中国矿业大学
基于太阳能风能综合利用的小型淡水制取装置,2,山东大学（威海）
无人值守继电室自主巡检及远程应急操控机器人,2,浙江工业大学
高仿真测绘信息沙盘制作设备,2,闽江学院
智能坯布疵点检测器,2,东华大学
基于机器视觉技术的蔬菜健康钵苗智能识别及劣质苗剔除装置,2,河南科技大学
变工况下机械传动链智能故障分析仪,2,武汉科技大学
基于科恩达效应的无桨推进器的实验与研究,2,郑州大学
基于激光诱导荧光的室内空气微生物实时监测装置,2,南京工业大学
智能汽车个性化换道辅助系统,2,吉林大学
气流环绕型药液回收式果园风送喷雾机,2,南京农业大学
适用于零部件装配的多自由度机器臂,2,长春理工大学
基于高强度瞬变脉冲磁场的异种金属焊接技术,2,重庆大学
面向船舶分段建造的智能胎架系统研制,2,江苏科技大学
基于子母机协同的高效铁轨检修机,2,武汉理工大学
面向大型石油气管道的管内检测机器人,2,山东大学（威海）
糖尿病视网膜黄斑病变光学成像仪,2,福州大学
北斗导航倍增器,2,哈尔滨工程大学
基于迁移强化学习的全地形自适应技术——以六足机器人为例,2,南京大学
“XGZ”盒式变体无人机,2,西北工业大学
低速重载轴承在线监测系统,2,安徽工业大学
基于容错控制的四轮毂驱动全地形电动“蜘蛛车”,2,安徽工程大学
基于 EVFM 和 DSP 的核反应堆钠中气泡探测器,2,合肥工业大学
阿斯巴甜高盐有机废水高效节能绿色处理装备研发与应用,2,常州大学
飞机结构防腐涂层的老化状态监测系统,2,湖北工业大学
刀尖仿生微结构单点金刚石振动压印装置,2,杭州电子科技大学
随动式残膜回收秸秆粉碎联合作业机,2,石河子大学
星载指向机构的研制及其应用研究,2,西安交通大学
超级电容与蓄电池混合储能型的大型矿车制动能量回收与利用系统,2,武汉工程大学
混联式可移动重载铸造机器人,2,安徽理工大学
基于红外测距融合 Kalman 滤波的电车防撞预警系统设计,2,铜陵学院
基于环形开槽的宽频高效射频能量收集理论与关键技术研究,2,河南师范大学
基于行星轮的单动力双向搅拌粉喷桩机钻头,2,南昌工程学院
可续航多温区智能生鲜冷链箱,2,厦门理工学院
应用于复杂地形的无人机和无人车协作导航系统,2,东莞理工学院
可重构机器人模块及系统,2,广东工业大学
六足仿生机器人,2,长春工业大学
基于新能源和市电的双火线家庭供电系统,2,山东科技大学
速度可控且具有双缓降功能的纯机械式高层建筑应急逃生装置,2,滨州学院
多功能节能型稳定平台,2,北京理工大学
有杆抽油泵人工智能诊断控制系统,2,常州大学
构态可变六足机器人,2,北京邮电大学
带式运输水气两相智能喷雾除尘系统,2,安徽理工大学
滴灌用卧式自吸网式过滤器,2,石河子大学
地空协同全自主飞行倾转旋翼无人机,2,电子科技大学
非圆齿轮自动换向抽气机,2,中国矿业大学
绿林卫士——树木保温材料缠绕、涂白与病虫害智能识别防治一体机,2,盐城工学院
一种近远海复合式波浪能发电系统,2,武汉理工大学
基于北斗协同精密定位的智能导航嵌入式系统,2,武汉大学
万象视界——可阵列的空间立体显像仪,2,西安电子科技大学
FingerIO——基于声学原理的智能设备手势交互系统,2,深圳大学
面向数字产业生态圈的企业级应用程序接口（API）研发管理平台,2,广东工业大学
“海雀”水空两栖远程巡检平台,2,广东工业大学
无人机机场管家——基于 uwb 定位的无人机机场调度方案,2,西安电子科技大学
高铁助教——真实体感型 VR 高铁模拟驾驶器,2,西南交通大学
射波刀高精度视觉定位系统,2,湖北工业大学
多目视觉和可编程运动控制驱动的智能分拣系统,2,杭州电子科技大学
基于 THz 精密光谱的血液/尿液中同型半胱氨酸定量检测,2,上海理工大学
原子和类原子系统中三光子关联和三模压缩特性的研究,2,西安交通大学
基于深度学习的卫星图像矢量道路提取研究,2,同济大学
基于显微高光谱成像的胆管癌早期病理诊断方法研究,2,华东师范大学
界面上的光子自旋霍尔效应及其在信息处理中的应用,2,暨南大学
一种基于量子点微纳结构的 Micro-LED 显示芯片,2,南京大学
基于机器视觉的输电网智能巡检系统,2,福州大学
空中‘反黑’智能频谱监测系统,2,南京航空航天大学
彩绘文物高光谱信息留取与虚拟修复技术,2,北京建筑大学
超高通量基因测序图像实时校准系统,2,复旦大学
十二导联心电监护衣及辅助诊疗平台,2,齐鲁工业大学（山东省科学院）
蛋白质结构多域组装预测系统,2,浙江工业大学
高灵敏度高分辨率宽带微波光谱仪,2,南京理工大学
基于 GNSS 诱骗技术的反无人机系统,2,桂林电子科技大学
基因疾病检测“专家”——基于微流控芯片的全自动荧光原位杂交仪,2,武汉纺织大学
船载水炮“智慧眼”——智能目标跟踪与射击反馈系统,2,武汉科技大学
基于视频语义理解的用户行为实时分析预警系统,2,重庆邮电大学
变电站仪表智能识别系统,2,重庆邮电大学
新型电动汽车高效能量回收装置,2,重庆理工大学
“海洋环游者”环形智能 ROV,2,中国海洋大学
“一触即发”——面向人手的智能物联系统,2,哈尔滨商业大学
高精度工件尺寸测量仪,2,佛山科学技术学院
实验动物血流多功能成像仪,2,佛山科学技术学院
基于声光健康唤醒的人体红外感应闹钟,2,合肥学院
基于嵌入式平台的道路异常行为监测系统,2,四川大学
低能见度天气车辆辅助驾驶雷达显示屏,2,华东交通大学
脉冲能量可调的耦合腔式被动调 Q 黄光固体激光器,2,暨南大学
智能滑板教学系统,2,北京邮电大学
智能跟踪对抗游戏机器人,2,华南理工大学广州学院
智能姿态感知医用内窥镜,2,武汉理工大学
基于李氏不变量的完全无损 GHZ 态分析,2,福州大学
冰的两个氢键理论及其在可燃冰开采中的应用,2,山东大学（威海）
随机微分方程和随机脉冲微分方程解的存在性与相关定性理论的探究,2,湖南大学
基于相位调控的声波操控及其功能器件研究,2,江苏大学
等离子体模型约简和数值模拟——Fokker-Planck-Landau 方程奇异二次碰撞模型的近似方法,2,北京大学
鹦鹉螺如何在二叠纪-三叠纪之交大灭绝中幸存,2,中国地质大学(武汉)
智慧垃圾收集基站——沉浸式光电互补智慧垃圾收集基站系统,2,河北大学
铽镓石榴石晶体光波导的空间光隔离器,2,山东大学
氧化石墨烯对农药增效性能的研究,2,河北科技师范学院
基于表面肌肉电信号的多运动模式肩关节康复机器人,2,广州中医药大学
“智创胃来”——基于计算机辅助的胃肠道肿瘤数字智能化诊治系统,2,南方医科大学
智流易检——基于血液的稀有细胞检测智能系统,2,西安电子科技大学
基于高立体选择性酶生物合成屈昔多巴,2,重庆大学
基于界面压力和环境智能调控的老年人护理床设计与研究,2,安徽农业大学
基于虚拟现实的肢体及心理康复辅助训练系统,2,北京工业大学
“诱导再生”／“抗骨肿瘤”个性化骨移植材料,2,四川大学
3D 打印多位点肺部穿刺导板的研发与应用,2,同济大学
基于惯性测量单元(IMU)的可视化脊柱椎弓根螺钉植入导航系统,2,海军军医大学
基于荧光探针的中药及食品中二氧化硫速测套装的开发,2,上海中医药大学
新型抗茶叶病害纳米生物农药的研发,2,福建农林大学
老年人多功能洗澡椅,2,佛山科学技术学院
设施栽培无公害生产臭氧灭菌杀虫装置,2,淮阴师范学院
秸秆-玉米联产燃料乙醇和低聚木糖型 DDGS 的工艺,2,南京理工大学
EasyCheck——一种廉价快速易保存的癌症早筛传感器,2,西安交通大学
武陵山区翼手目动物的资源本底与种群保护,2,吉首大学
两种新噬菌体的发现、鉴定及应用研究,2,济南大学
防治小麦赤霉病及纹枯病新型杀菌剂的研发,2,青岛农业大学
Bt 毒素基因的表达与杀虫功能研究,2,海南师范大学
抗结直肠癌活性化合物的设计、合成与筛选,2,上海大学
单肠目扁虫新种及其系统进化分析,2,深圳大学
小麦耐逆因子 TaARR1 和 TaMIR1119 分子特征及功能研究,2,河北农业大学
云南省马铃薯品种资源鉴定及分子指纹图谱的建立,2,云南师范大学
玉米抗蚜虫候选基因(qRrm1)的功能变异位点鉴定,2,河南农业大学
“人乳化”配方奶：易消化婴幼儿乳品的脂质指纹图谱研究及配方推荐,2,宁波大学
基于分子识别的光、电化学生物传感器的制备及其应用研究,2,湖北大学
双载药生物多糖纳米粒子的制备、表征及其对肿瘤细胞抑制作用的研究,2,湖南师范大学
山羊 AT 模体结合因子 1 基因 SNP 与 InDel 挖掘及其与经济性状关联研究,2,西北农林科技大学
桑黄多糖与姜黄素对肉鸡健康养殖的增效——基于抗炎机制及降脂作用,2,福建农林大学
多肽因子等天然物质通过 NF-κB 及其上下游通路对于慢性炎性疾病的机制及潜在治疗作用研究,2,山东大学
从家蚕肥胖突变体发现新的肿瘤抑制基因,2,西南大学
总胆红素和直接胆红素荧光生物传感器的构建及在诊断试剂盒中的应用,2,安徽医科大学
基于中医归经理论的系统虚拟药理学筛选中药活性成分的研究——以结直肠癌为例,2,南京中医药大学
中药栀子炮制后抗抑郁增效机制研究,2,南京中医药大学
基于抑制 mPGES-2 活性的芒果苷在肝损伤中的作用及机制探究,2,徐州医科大学
新发 D 型流感病毒的病原学与流行病学研究,2,南京农业大学
脐带 MSC 外泌体防治 2 型糖尿病及糖尿病肾病的作用机制研究,2,江苏大学
靶向细菌细胞膜的阳离子单胍聚合物消毒剂发掘初探,2,华中农业大学
硒通过硒蛋白调控子宫平滑肌收缩作用机制探究,2,华中农业大学
葫芦素 B 诱导 EGFR 溶酶体降解抑制吉非替尼耐药的非小细胞肺癌的作用机制,2,湖北医药学院
面向毒品及爆炸物现场快速检测的比色传感阵列及人工视觉系统,2,青海大学
一种漂移式外轨导向振荡浮子波浪能发电装置,2,三亚学院
移动式农林秸秆微波快速催化热解多联产的装备研发,2,南昌大学
无下水道深度资源化厕所,2,郑州轻工业大学
离网型建筑综合能源系统协同与控制示范装置,2,东南大学
非凝固绿色浆液封堵瓦斯抽采钻孔方法及应用,2,中国矿业大学
高压临氢特种材料的研发及产品化应用,2,浙江工业大学
军民两用快速铺装混凝土材料及其关键技术,2,广东工业大学
高韧传感纤维编织结构智能海洋防护绳网,2,东华大学
基于人工智能模拟的中国海岸带土地利用对沿海生态安全的影响研究,2,华东师范大学
同步测量多个光电化学参数的新型测试技术及装置,2,佛山科学技术学院
快检猫—新型纳米电极重金属快速检测仪,2,吉林工程技术师范学院
前驱体激光原位转化技术在无粘结剂储能材料制备中的应用,2,杭州电子科技大学
纯电动汽车新型非电池储能供暖装置,2,北京建筑大学
高流动性无卤阻燃碳纤维增强 PC/ABS 复合材料的开发,2,华南理工大学
面向 5G 毫米波频段——新型高效吸波材料的研发与应用,2,浙江师范大学
原位溶解钙钛矿量子点打印技术,2,北京理工大学
化工园区废水深度净化高效催化剂的研发与应用,2,南京工业大学
基于 Li0.5La0.5TiO3 定点吸附的 H2S 超快响应及面向矿山安全的检测系统,2,郑州大学
可采集存储太阳光和人体运动能量的纳米纤维柔性可穿戴织物,2,中原工学院
智能可穿戴设备用体温发电电池,2,武汉科技大学
茶多酚中高附加值功能活性成分 EGCG 和 ECG 制备新技术,2,湖南理工学院
用于检测食源致病菌的鱼皮明胶薄膜包装材料,2,陕西科技大学
碳纤维增强碳化物气凝胶的制备及在晶硅生长炉中保温隔热效果研究,2,南京工业大学
超结构氮化碳体系的构建及其光催化性能研究,2,江苏大学
基于催化多重位点的生物质基绿色材料合成及其构效关系的研究,2,山东大学
规模化类铂非贵金属绿色电催化制氢建构与应用集成,2,中国石油大学（华东）
铁元素在催化形成碳-碳及碳-杂键中的新应用,2,南开大学
超声光催化和过硫酸盐活化三维海胆状 MoS2/C 纳米粒子加速抗生素去除,2,大连理工大学
双反应中心类芬顿体系去除水中有机污染物原理,2,广州大学
分子基铁电体的化学设计,2,南昌大学
新型四唑羧酸及其配合物的合成与抗宫颈癌活性研究,2,常熟理工学院
青藏铁路错那湖段挡沙墙气动力特性的数值模拟,2,北京林业大学
层状化合物的协同阻燃改性及其聚合物基复合材料的燃烧性能研究,2,中国地质大学(武汉)
g-C3N4-CuxO 异质结型催化剂的界面调控及其在难降解工业废水处理中的应用,2,武汉纺织大学
磁性牛粪生物炭对畜禽废水中酸碱性有机物的脱除性能和机理研究,2,华中农业大学
倍率型锂离子电池用正极材料的形貌调控、晶面设计、碳基复合及其性能研究,2,湖北大学
稳定高效新型非贵金属催化材料的制备及电解水性能研究,2,浙江大学
太阳光驱动催化纤维高效降解水体中新型污染物,2,浙江理工大学
DHA-花青素复合脂质体婴儿体外消化及其对肠道细胞作用研究,2,浙江工商大学
含苯并杂环骨架的类天然产物的创新合成及化合物库的构建,2,嘉兴学院
3-取代-2-吲哚酮类抗肿瘤候选药物绿色制备新策略的研究,2,宁波大学
安顺地戏“遗产化”过程中的真实性与记忆再造,2,中国社会科学院大学
90 后与“90 后”的党员对话——跨越七十年的信仰接力,2,南京大学
70 人，70 年：一个中国村庄的道德图景 ——基于江苏省徐州市马庄村的田野调查,2,南京师范大学
人工智能发展与劳动分工变奏——一项基于超专业化视角的研究,2,东华大学
传承 90 年红色基因—亭旁起义发生地包家村的保护研究,2,嘉兴学院
从传统到主流：客家文化视域下大学生社会主义核心价值观培育路径研究——基于闽、粤、赣客家地区高校的调查,2,龙岩学院
特殊群体的生命故事研究,2,岭南师范学院
基于刷卡大数据的北京地铁错峰票价政策有效性探究,2,北京交通大学
政府驱动的资本结构调整对企业负债水平的影响及渠道研究,2,北京外国语大学
河北省产能过剩的成因与治理：理论与实证研究,2,东北大学秦皇岛分校
政府投入与扶贫效果：多多益善，还是因地制宜？——基于四川省宜宾市 388 个贫困村的调研,2,上海财经大学
如何破解减税政策“落地难”？——基于上海市科技型小微企业的研究,2,上海理工大学
四川省农村金融改革试点效果及提升路径研究 ——以“两权”抵押和成都市农金改试验区为例,2,四川农业大学
从“排斥”到“拥抱”：互联网金融离农户究竟有多远？——基于江苏省 1849 个农户的调查研究,2,南京师范大学
财税政策对装备制造业全要素生产率的影响研究——基于山东省 16 地市 273 家企业的调查,2,山东财经大学
“海底丝绸之路”构想及实现路径——基于“21 世纪海上丝绸之路”倡议,2,山东财经大学
城乡之间——山西省城乡居民流动情况,2,山西大学
移动短视频时代下的营销新模式探讨,2,山西财经大学
打造为农服务新载体，创新协同服务新模式——基于“三位一体”综合合作的调查研究,2,温州大学
活权能否兴农：三权分置对农民收入质量的影响探究——基于豫陕宁三省的调研,2,郑州大学
返贫抑制：基于南疆深度贫困区精准脱贫与乡村振兴协同推进模式调查及效果满意度评价,2,塔里木大学
快递包装垃圾走向何方？——基于对沈阳快递包装废弃物循环再利用的调查,2,辽宁工业大学
基于三维视角的湖北省民营经济运行状况调查报告,2,中南财经政法大学
贫困退出背景下返贫脆弱性及长效遏制机制研究——基于宁德市的调查,2,福建师范大学
林农得“利”、政府得“绿”： 重点生态区位商品林赎买改革的福建实践与全国推广,2,福建师范大学
乡村振兴背景下农村土地“三权分置”改革探索——以广东省佛山市南海区为例,2,广州大学
工业机器人应用对就业的影响——基于中国企业数据的实证研究,2,暨南大学
农地确权对农村信贷市场发展影响研究——基于信息门槛维度,2,华南农业大学
祛魅与再魅：现代语境下佛教寺院的新媒体传播模式,2,中央民族大学
关怀生命终点的守护者——基于沪上舒缓医疗人员生存状况的实地调查与改善对策研究,2,北京大学
外卖食品的包装垃圾：治理之困与破局之道,2,上海交通大学
尺有所短，不可忽视——农药使用现状调查,2,东北大学秦皇岛分校
健康中国背景下农村居民健康状况评估及提升方案研究——穿越三秦大地的二十县实地调研,2,西安交通大学
孤岛之困如何解围？老年数字弱势群体的数字化生存困境调查与对策研究,2,南昌大学
农村社会源危险废物回收处置的问题与建议调研报告——以山东省为例,2,山东建筑大学
同撑生命保护伞，共筑应急防火墙——关于石家庄市人民群众对 CPR 了解程度的调查报告,2,河北医科大学
“二孩生育”的消费账：二孩政策下家庭结构变化对微观消费升级的影响研究,2,山东大学（威海）
精准扶贫大背景下的扶贫干部困境的研究——以河北省承德市为例,2,唐山师范学院
家门口的医生，离我们有多远？家庭医生签约服务模式与居民就诊行为——基于倾向得分匹配的反事实估计,2,天津医科大学
公共危机次生型网络舆情危机产生的内在逻辑——基于 40 个案例的定性比较分析方法（QCA）研究,2,中南大学
有温度的制度如何炼成：新时代再造乡土中国的制度逻辑和策略选择——来自湘北 Y 市 108 村红白理事会的经验,2,中南大学
八面破敌：我国临终关怀社会工作介入的困境与突围——基于三年 562 人次服务实践和 1040 名公众的访谈调研,2,浙江传媒学院
青河“新城”中易地搬迁牧民生活转型研究,2,新疆师范大学
如何“筑巢引凤”：城市体验对大学生就业地域偏好的影响研究——以对武汉市 1445 个大学生的调查为例,2,华中农业大学
指尖公益如何让人放心爱？——基于芜湖市居民对轻松筹的认知和使用情况调查,2,安徽财经大学
非遗抢救后的生存现状及市场激活策略调研——以开封朱仙镇木版年画为例,2,中原工学院
“乡村政治人”的成长与基层民主选举质量的提升——一个选举观察员的视角,2,安徽大学
惠台政策视角下台湾青年赴大陆就业创业路径研究——基于闽台两地的调查,2,福建师范大学
关不掉抖音，究竟是谁的错？——短视频视阈下网络新生代群体文化堕落现状的探究,2,厦门大学嘉庚学院
